Last Name,Nationality,Date of Birth,Team,Total Goals,Shots Created per 90 Minutes,Assists
Cabrera,Spain,15/08/2000,Manchester United,4,1.6,1
Thompson,Sweden,18/01/1988,Leicester City,4,3.09,0
May,Brazil,15/06/1996,Manchester United,4,3.97,7
Thomas,Spain,30/10/2002,Everton,4,2.22,11
Wilson,Germany,19/03/1991,Manchester United,4,4.94,10
Dodson,England,08/06/1995,Liverpool,4,0.91,11
Ramirez,Germany,24/07/1984,Manchester United,4,2.64,4
Jenkins,Italy,27/08/1999,Manchester City,4,3.07,13
White,Scotland,16/11/1988,West Ham United,4,4.96,5
Hill,Netherlands,17/06/1995,Tottenham Hotspur,4,0.73,1
Odom,Germany,04/07/1993,Leeds United,4,1.81,6
Wilson,Spain,31/05/1998,Tottenham Hotspur,4,0.84,12
Wallace,Denmark,02/06/1986,Tottenham Hotspur,4,1.24,4
Lopez,Uruguay,04/03/1993,Leeds United,4,1.19,1
Flores,Spain,03/05/1990,Manchester City,4,1.9,2
Thomas,Denmark,15/07/1995,Aston Villa,4,2.85,3
Flores,Denmark,22/05/2003,Leicester City,4,4.43,15
Edwards,Portugal,15/06/1986,Leeds United,4,4.19,6
Malone,Argentina,04/11/1992,Tottenham Hotspur,4,1.38,8
Wilson,Denmark,24/04/1987,Leicester City,4,1.76,0
Salazar,Italy,26/02/1996,Chelsea,4,2.35,10
Rodgers,Italy,01/01/2005,Leeds United,4,3.61,4
Berg,Brazil,07/05/2004,Manchester United,4,2.33,11
Newton,Germany,28/10/1990,Liverpool,4,3.9,1
Sullivan,Italy,02/01/1996,Manchester United,4,4.69,8
Randall,Uruguay,24/09/1988,Arsenal,4,2.69,0
Conway,Germany,16/09/1986,Arsenal,4,3.28,9
Campbell,Sweden,27/05/1998,Aston Villa,4,0.54,11
Moody,Portugal,12/01/2007,Chelsea,4,4.45,7
Smith,Brazil,21/01/2005,Tottenham Hotspur,4,4.22,3
Armstrong,Brazil,09/01/2000,Tottenham Hotspur,4,4.77,1
Martinez,Spain,15/07/1985,Aston Villa,4,4.75,2
Garcia,England,18/02/1989,Liverpool,4,3.38,0
Barton,Argentina,16/01/2002,Tottenham Hotspur,4,2.79,9
Jones,Belgium,22/02/1988,Arsenal,4,2.74,10
Davis,Spain,25/04/1997,Manchester United,4,4.94,12
Edwards,Scotland,29/08/2004,Leicester City,4,0.98,4
Anderson,Netherlands,02/06/1988,Leicester City,4,1.31,10
Gamble,Scotland,06/05/2000,Chelsea,4,2.18,0
Edwards,France,20/12/1997,Liverpool,4,2.11,6
Washington,Germany,08/11/1995,Leicester City,4,3.37,13
Martinez,Argentina,08/03/1996,West Ham United,4,4.06,2
Randolph,Belgium,18/05/1995,Aston Villa,4,2.66,2
Miles,Portugal,19/05/1992,Chelsea,4,1.93,9
White,Italy,10/01/2000,Everton,4,2,15
Scott,Netherlands,13/05/2004,Aston Villa,4,4.16,11
Tyler,Argentina,08/08/1992,Leeds United,4,3.92,6
Martinez,Scotland,27/01/1988,West Ham United,4,4.76,15
Mercer,Germany,05/11/1985,Everton,4,4.95,5
Harper,Netherlands,17/10/1992,Liverpool,4,2.1,7
Sherman,Spain,30/07/1987,Liverpool,4,3.81,0
Jones,Argentina,08/02/1999,Aston Villa,4,4.17,12
Snyder,France,07/11/2004,Newcastle United,4,3.89,8
Lynch,Denmark,04/01/1989,Tottenham Hotspur,4,4.42,5
Lee,Uruguay,23/09/1998,Tottenham Hotspur,4,2.66,4
Ellis,Sweden,05/02/2003,Manchester City,4,3.67,14
Chandler,Belgium,13/01/2002,Liverpool,4,0.65,12
Tucker,Brazil,04/05/2002,Chelsea,4,0.9,15
Oconnor,Denmark,04/02/1996,Aston Villa,4,4.85,1
Taylor,Netherlands,24/06/1993,Tottenham Hotspur,4,3.51,3
Jimenez,Argentina,17/11/1992,Everton,4,2.8,15
Mullins,Sweden,07/11/2000,Newcastle United,4,3.41,6
Cross,Argentina,30/03/1984,Everton,4,2.05,0
Mitchell,Netherlands,25/12/1985,West Ham United,4,1.55,6
Mills,Netherlands,17/04/1998,Leicester City,4,4.88,15
Jackson,Sweden,20/01/1996,Liverpool,4,2.63,14
Baxter,Netherlands,18/12/2000,Chelsea,4,3.78,13
Perez,Uruguay,31/07/1999,Leeds United,4,4.45,7
Heath,Germany,06/03/1985,Manchester City,4,3.19,1
Adams,Sweden,04/03/2001,Manchester City,4,1.03,1
Wheeler,Portugal,16/05/1996,Leicester City,4,2.55,8
Chen,France,24/01/1997,West Ham United,4,2.55,8
Hodge,Spain,13/02/1985,Tottenham Hotspur,4,2.21,3
Campbell,Netherlands,23/08/1995,Leicester City,4,1.54,11
Ray,France,26/07/1988,Manchester United,4,3.96,3
Cox,Belgium,04/11/2006,Everton,4,4.01,8
Smith,Germany,14/01/1989,Newcastle United,4,3.32,15
Gray,Germany,25/06/1995,Manchester City,4,1.02,8
Martin,Sweden,18/05/2001,Leicester City,4,2.26,7
Howard,Spain,18/03/2002,Leeds United,4,0.7,5
Jackson,Denmark,22/01/1985,Tottenham Hotspur,4,1.45,13
Logan,Germany,04/04/2006,Everton,4,2.64,1
Davis,Germany,19/02/2006,Liverpool,4,0.94,9
Nguyen,Belgium,19/01/1987,Manchester City,4,3.36,5
Thompson,Belgium,26/03/1984,West Ham United,4,3.48,7
Chambers,Denmark,29/11/2004,West Ham United,4,2.47,8
Phillips,Denmark,23/05/2005,Tottenham Hotspur,4,3.91,6
Le,Italy,28/10/2002,West Ham United,4,3.19,9
Tucker,Argentina,03/04/1991,Tottenham Hotspur,4,3.45,10
Hartman,Denmark,18/03/1989,West Ham United,4,2.3,1
Nichols,France,06/05/1990,Leicester City,4,1.88,8
Robinson,Germany,07/02/1995,Everton,4,0.83,0
Arroyo,Belgium,01/11/1986,West Ham United,4,1.07,4
Richards,Argentina,15/07/2001,Leeds United,4,1.74,6
Moore,Scotland,23/06/1998,Manchester City,4,2.86,0
Perez,Argentina,16/05/1990,Aston Villa,4,2.81,2
Shelton,Sweden,02/02/1990,Leicester City,4,0.76,4
Braun,Sweden,27/08/1996,West Ham United,4,4.73,3
Williams,Netherlands,11/07/1988,Aston Villa,4,2.16,2
Cooke,Belgium,01/05/2004,Tottenham Hotspur,4,3.48,1
Smith,Germany,29/01/1997,Leicester City,4,1.01,1
Baldwin,Denmark,15/10/1990,Manchester United,4,0.69,9
Gay,England,01/03/1999,Tottenham Hotspur,4,2.61,13
Turner,Argentina,19/05/1992,Everton,4,2.09,14
Gutierrez,Argentina,22/08/1988,Newcastle United,4,0.94,12
Parker,Spain,03/06/1994,Newcastle United,4,2.72,4
Johnson,Belgium,05/09/2001,Chelsea,4,1.82,0
Castro,Netherlands,15/09/1985,Leeds United,4,0.54,8
Clarke,Germany,24/12/2005,Liverpool,4,3.19,6
Anderson,Spain,26/08/1987,Everton,4,2.81,1
Huffman,France,15/12/1988,Leeds United,4,0.86,13
Wood,Denmark,17/09/1993,Aston Villa,4,2.93,7
Hayes,Sweden,17/08/2002,West Ham United,4,3.5,6
Brown,Belgium,06/08/1987,Leicester City,4,4.57,13
Mcconnell,Spain,13/02/2000,Tottenham Hotspur,4,0.5,2
Phillips,Italy,16/09/1992,Leeds United,4,3.42,0
Pierce,Brazil,31/05/1999,Everton,4,4.62,4
Meyer,Italy,25/04/1989,Newcastle United,4,1.03,9
Silva,France,17/04/1986,Manchester City,4,2.73,5
Taylor,Denmark,06/04/1993,Leeds United,4,4.26,11
Medina,Portugal,30/05/1999,Arsenal,4,2.04,14
Rice,Uruguay,19/01/1993,Leeds United,4,3.03,5
Moore,Scotland,20/11/1988,Manchester City,4,4.75,6
Myers,Sweden,13/04/2005,Chelsea,4,4.78,5
Webb,France,26/09/2005,Everton,4,1.93,8
Mcdonald,Italy,16/01/1997,Newcastle United,4,0.92,4
Williams,Germany,29/06/1995,Manchester City,4,0.58,3
Haynes,Italy,05/09/1997,Arsenal,4,1.66,6
Reyes,Uruguay,09/11/1987,Aston Villa,4,3.62,7
Garrett,Germany,25/05/1992,Aston Villa,4,4.04,13
Foster,Netherlands,20/11/1992,Chelsea,4,2.77,15
Murray,Italy,11/01/1995,Everton,4,2.53,8
Pacheco,Netherlands,24/06/1999,Leicester City,4,4.02,3
Martinez,Argentina,30/04/1996,Leeds United,4,0.74,0
Contreras,Sweden,27/04/1998,Manchester United,4,0.56,2
Hansen,Belgium,11/06/1987,Manchester City,4,2.31,4
Rose,Italy,01/04/1998,Tottenham Hotspur,4,2.59,4
Johnston,Spain,18/07/1991,Liverpool,4,4.4,7
Rodriguez,Sweden,24/01/1990,Liverpool,4,4.46,9
Chen,Uruguay,04/09/1992,Everton,4,1.98,1
Rogers,France,28/04/1989,Aston Villa,4,4.2,0
Lynch,Italy,03/03/1993,Leicester City,4,3.89,7
Ortiz,Brazil,24/03/1990,Arsenal,4,3.38,12
Castillo,France,18/01/1991,Manchester United,4,2.92,11
Buchanan,Argentina,23/09/1984,West Ham United,4,4.85,11
Andrade,Argentina,31/08/1997,Aston Villa,4,2.8,12
Golden,Italy,22/04/1987,Arsenal,4,4.03,11
Velazquez,Sweden,19/07/1995,Liverpool,4,3.69,3
Ramirez,Sweden,02/02/2005,Manchester City,4,2.86,14
Logan,Germany,14/04/1994,Manchester United,4,4.04,12
Kim,Portugal,10/07/2003,Liverpool,4,2.53,15
Rodriguez,France,09/06/1989,Newcastle United,4,0.91,12
Gonzales,Denmark,16/04/1986,Liverpool,4,1.08,4
Burns,Portugal,26/04/1988,Newcastle United,4,0.76,0
Nunez,Germany,29/05/1990,Manchester City,4,0.64,13
Craig,Germany,18/01/1993,Aston Villa,4,1.58,14
Russell,Italy,29/11/1992,West Ham United,4,4.67,1
Coleman,Sweden,24/08/1996,Leicester City,4,1.34,8
Mann,France,18/07/1989,Leicester City,4,2.83,11
Oconnor,Scotland,23/08/1991,Chelsea,4,1.11,10
Donaldson,Sweden,07/02/1990,Chelsea,4,1.96,0
Cox,Brazil,20/03/1985,Tottenham Hotspur,4,1.86,12
Hill,Italy,04/03/1994,Newcastle United,4,2.12,1
Reynolds,Spain,16/03/1999,Manchester United,4,4.99,0
Conner,Argentina,22/02/1996,West Ham United,4,2.17,1
Johnson,Germany,04/12/1991,Newcastle United,4,1.6,9
Fischer,France,07/10/1988,Everton,4,1.72,15
Gregory,Portugal,21/10/2002,Leicester City,4,4.04,1
Best,Italy,07/11/1989,West Ham United,4,4.83,1
Davis,Argentina,06/01/2004,Manchester City,4,1.91,3
Simmons,Uruguay,06/10/2000,Newcastle United,4,1.77,3
Wheeler,England,07/06/2001,Tottenham Hotspur,4,2.61,0
Osborne,Portugal,10/10/1986,Manchester United,4,2.19,12
Williams,Uruguay,19/03/1991,Tottenham Hotspur,4,3.7,4
Cooper,Sweden,15/11/1984,West Ham United,4,3.34,14
Ellis,Belgium,31/08/1988,Aston Villa,4,3.99,15
Young,Portugal,01/01/1999,Leeds United,4,0.74,12
Drake,Netherlands,15/07/2000,Liverpool,4,4.01,15
Hester,England,13/11/2001,Everton,4,1.14,10
Boyd,Sweden,02/11/2002,Manchester City,4,2.86,15
Campbell,France,30/01/2001,Tottenham Hotspur,4,0.63,1
Beck,Portugal,14/06/1986,Everton,4,1.79,11
Walker,Argentina,25/11/1990,Manchester City,4,3.66,15
Kelly,England,23/01/2001,Arsenal,4,2.47,4
Olson,Scotland,04/06/1996,Manchester City,4,3.34,11
Davis,Scotland,05/06/2004,Everton,4,2.59,8
Martinez,Italy,21/09/1992,Liverpool,4,0.8,0
Lee,Sweden,15/01/2002,Tottenham Hotspur,4,3.11,11
Mitchell,Netherlands,30/11/2002,Newcastle United,4,4.5,4
Nunez,Portugal,27/10/1993,Leicester City,4,3.12,11
Smith,Denmark,04/11/1985,West Ham United,4,0.51,13
Rodriguez,Spain,11/10/2000,Liverpool,4,0.75,10
Leonard,Denmark,30/07/1986,Chelsea,4,1.91,11
Haynes,Portugal,12/12/1986,Tottenham Hotspur,4,0.67,14
Nelson,Spain,19/12/2002,Tottenham Hotspur,4,3.95,13
Bond,Netherlands,30/06/1984,Liverpool,4,2.21,14
Young,England,29/06/2003,Aston Villa,4,1.13,5
Hester,Sweden,12/08/1984,Aston Villa,4,1.66,9
Morales,Netherlands,07/08/2006,Leeds United,4,0.95,9
Lawson,Uruguay,13/12/1991,Manchester City,4,0.65,3
Gardner,Belgium,10/11/1999,Newcastle United,4,4.51,3
Hernandez,England,01/11/1987,Manchester United,4,3.55,0
Brandt,Uruguay,13/12/2004,West Ham United,4,3.37,7
Diaz,Sweden,31/05/1999,Arsenal,4,3.68,4
Melton,France,18/02/1990,Everton,4,4.87,12
Gray,Denmark,16/11/1993,Leeds United,4,1.48,1
Morris,Netherlands,06/05/1984,Chelsea,4,1.72,8
Foster,Spain,09/05/2002,Arsenal,4,2.43,15
Hicks,Portugal,05/03/1987,Leeds United,4,1.48,15
Thomas,Denmark,08/03/1999,Leicester City,4,3.09,7
Odom,Belgium,28/03/1998,Newcastle United,4,4,11
Fowler,Portugal,30/12/1994,Newcastle United,4,3.26,4
Huang,Argentina,30/01/1992,Manchester City,4,3.65,11
Novak,Scotland,18/09/1991,Aston Villa,4,3.81,10
Mueller,Belgium,22/08/1999,Everton,4,2.09,7
Smith,England,19/07/2001,Leicester City,4,2.63,1
Miller,Argentina,30/03/1985,Newcastle United,4,3.74,13
Medina,Brazil,26/11/1992,Arsenal,4,3.2,5
Hernandez,Uruguay,07/02/1993,Manchester United,4,3.5,5
Brock,Scotland,26/06/1999,Manchester United,4,2.42,12
Bright,France,28/02/1997,Chelsea,4,4.44,5
Jones,Scotland,19/11/2006,West Ham United,4,0.85,1
Knight,Denmark,14/06/1999,Everton,4,1.02,3
Gonzalez,Italy,30/07/1989,Aston Villa,4,2.03,4
Thomas,France,11/12/1999,Leeds United,4,0.57,8
Mitchell,Germany,01/08/2000,Tottenham Hotspur,4,3.47,6
Ray,Denmark,26/04/1989,Leicester City,4,3.79,5
Rodriguez,England,22/01/1994,Leicester City,4,2.15,5
Alexander,Spain,04/05/2005,Manchester United,4,3.45,6
Atkins,Scotland,13/08/1989,Everton,4,2.81,7
Fuentes,Netherlands,19/04/2006,Aston Villa,4,0.51,7
Martin,Spain,30/06/1996,Newcastle United,4,1.24,2
Gardner,Germany,07/04/2002,Arsenal,4,1.25,2
Kennedy,Scotland,07/11/2000,West Ham United,4,3.84,2
Gibson,Netherlands,12/09/2005,Leicester City,4,2.29,0
Allen,Uruguay,15/05/1993,Everton,4,3.93,8
Cooper,France,06/08/1996,West Ham United,3,2.17,6
Mays,Portugal,06/05/2004,Leicester City,3,0.9,9
Snyder,Portugal,29/10/2006,Everton,3,3.72,9
Villegas,Spain,10/06/1992,Newcastle United,3,3.12,11
Jensen,Uruguay,22/03/1995,Everton,3,0.79,1
Shea,Germany,07/10/1988,Aston Villa,3,2.23,9
Barnes,Denmark,07/08/1992,Everton,3,2.32,12
Martinez,Spain,07/10/1988,Liverpool,3,3.72,7
Adams,Belgium,19/07/1991,West Ham United,3,4.48,0
Miller,England,29/07/1992,Manchester United,3,3.58,4
Johnson,Uruguay,05/09/1994,Liverpool,3,3.12,7
Alexander,Denmark,28/01/1988,Manchester City,3,4.95,10
Garcia,Belgium,02/04/1998,Leicester City,3,2.41,13
Evans,Scotland,21/02/1995,Leeds United,3,0.64,13
Mosley,Uruguay,24/08/1991,Manchester United,3,4.72,1
Ramirez,Argentina,27/05/1990,Liverpool,3,2.17,5
Stevens,Netherlands,27/08/1985,Aston Villa,3,2.19,15
Martin,England,02/03/1997,Manchester City,3,3.71,5
Smith,Portugal,16/09/1990,Chelsea,3,3.12,5
Silva,England,06/02/2004,Newcastle United,3,2.7,4
Ortiz,Germany,15/06/2000,Liverpool,3,3.88,7
Rodgers,Denmark,23/03/1993,Tottenham Hotspur,3,4.96,5
Smith,Italy,15/08/1998,Manchester City,3,3.37,8
Beasley,Sweden,29/08/1988,Chelsea,3,3.34,8
Norris,Scotland,30/04/2005,Chelsea,3,3.04,10
Perry,England,12/05/1997,Arsenal,3,2.24,14
Smith,Denmark,26/11/1986,Liverpool,3,3.99,5
Snyder,Brazil,15/09/1991,Newcastle United,3,2.17,8
Long,England,16/03/1989,Liverpool,3,3.08,7
Schultz,Argentina,18/05/1993,West Ham United,3,0.8,3
Marquez,Sweden,20/06/1991,Leeds United,3,2.86,11
Callahan,Netherlands,11/08/1992,West Ham United,3,0.78,9
Harris,Portugal,10/02/1991,Arsenal,3,3.09,6
West,Brazil,03/09/1991,Manchester City,3,1.92,5
Odonnell,Sweden,05/01/2007,Manchester City,3,3.74,6
James,Scotland,18/07/1995,Leeds United,3,3.09,7
Hunter,Spain,13/10/2003,Manchester City,3,2.49,13
Fisher,Netherlands,25/06/1988,Newcastle United,3,3,10
Wagner,England,03/10/2000,Chelsea,3,0.65,14
Brown,Brazil,22/06/1988,Aston Villa,3,1.49,9
Walker,Denmark,01/10/1988,Chelsea,3,2.78,11
Moyer,Portugal,24/09/2000,Newcastle United,3,4.41,11
Wood,Belgium,18/09/1988,Arsenal,3,4.79,2
Sherman,England,15/02/1994,Liverpool,3,2.24,13
Potts,Scotland,19/03/2002,Chelsea,3,0.67,7
Taylor,Denmark,24/04/1990,Aston Villa,3,3.11,8
Oconnor,Scotland,05/06/1991,Chelsea,3,3.07,1
Jones,Uruguay,01/02/1992,Leicester City,3,4.98,12
Dean,Brazil,10/08/2001,West Ham United,3,3.69,10
Thomas,Netherlands,21/06/1986,Leeds United,3,2.65,12
Bradshaw,Belgium,08/07/1998,Manchester United,3,1.08,9
Sanchez,France,01/07/1994,Arsenal,3,1.58,1
Jones,Germany,05/07/1997,Leicester City,3,4.62,7
Mccormick,Denmark,15/04/1984,Chelsea,3,1.7,2
Porter,Brazil,23/01/2003,Newcastle United,3,2.87,6
Shields,Denmark,13/03/1990,West Ham United,3,4.71,0
Jackson,Argentina,29/05/2000,Manchester City,3,3.03,9
Smith,Brazil,14/05/2004,Tottenham Hotspur,3,0.91,0
Mendoza,Belgium,24/05/1998,Tottenham Hotspur,3,3.26,15
Daniel,Portugal,12/01/1991,Chelsea,3,2.52,8
King,Belgium,19/09/2002,Liverpool,3,2.31,1
Jackson,Brazil,17/10/1999,Manchester City,3,1.41,13
Myers,Scotland,12/10/1989,Leicester City,3,2.39,3
Wilson,England,09/09/2002,Manchester United,3,3.89,9
Barnes,Argentina,07/12/1993,Newcastle United,3,0.63,0
Jacobs,Uruguay,27/07/2005,Leeds United,3,4.12,11
Wade,Uruguay,20/04/1988,Tottenham Hotspur,3,3.14,6
Anderson,Portugal,13/02/2002,Tottenham Hotspur,3,4.22,11
Smith,Argentina,03/04/1984,Aston Villa,3,2.49,13
Moore,Germany,04/09/1988,Leicester City,3,1.04,4
Peterson,England,11/08/1988,Newcastle United,3,0.64,10
Lynch,Argentina,02/05/2000,Newcastle United,3,1.31,4
Gray,Netherlands,20/10/1994,Aston Villa,3,4.38,11
Hill,Belgium,11/09/1993,Tottenham Hotspur,3,4.05,6
Holland,Sweden,28/02/1984,Tottenham Hotspur,3,2.05,8
Pennington,Belgium,19/04/1987,Arsenal,3,2.15,2
White,France,17/12/1998,Arsenal,3,0.62,9
Harper,Portugal,27/11/1990,Liverpool,3,1.58,1
Miller,Italy,17/12/1997,Liverpool,3,4.12,7
Johnson,Sweden,14/05/1984,Tottenham Hotspur,3,2.86,7
Flynn,England,09/01/1995,Arsenal,3,1.32,7
Chase,Sweden,29/05/1993,Leeds United,3,2.72,5
Soto,Italy,30/08/1985,Arsenal,3,3.06,14
Espinoza,Brazil,10/05/1987,Arsenal,3,2.51,14
Lopez,Netherlands,30/10/1995,Chelsea,3,3.96,13
Phelps,Spain,30/12/1996,Tottenham Hotspur,3,1.1,12
Jackson,Uruguay,25/02/2003,Chelsea,3,1.42,10
Woods,Brazil,27/03/2002,Chelsea,3,1.46,10
Reid,Germany,03/08/1992,Leeds United,3,3.97,10
Stevens,Scotland,11/01/1997,Tottenham Hotspur,3,2.56,1
Meyers,Portugal,31/10/2002,Manchester United,3,2.21,13
Ramirez,Uruguay,02/04/2003,Manchester City,3,0.88,15
Davis,Belgium,16/04/1989,Arsenal,3,4.17,15
Wong,Brazil,18/10/1993,Manchester City,3,2.67,4
Cobb,Netherlands,05/10/1996,Manchester United,3,3.85,5
Moore,Sweden,15/03/2001,Tottenham Hotspur,3,2,10
Clements,Netherlands,03/07/2003,Liverpool,3,1.81,5
Stanley,Netherlands,25/05/1994,West Ham United,3,4.45,3
Barnes,Brazil,19/06/1994,Tottenham Hotspur,3,2.84,12
Melendez,Uruguay,18/01/1991,Chelsea,3,3.8,9
Owens,Scotland,01/06/1985,Tottenham Hotspur,3,2.82,8
Combs,Sweden,02/07/2002,Leicester City,3,3.54,0
Anderson,Uruguay,21/06/1985,Chelsea,3,2.67,11
Chan,Spain,25/01/2007,Tottenham Hotspur,3,4.49,1
Richards,Scotland,24/09/1988,Aston Villa,3,2.18,7
Moore,Sweden,12/03/1997,Manchester City,3,4.95,14
Branch,Portugal,13/06/1994,Manchester United,3,3.11,3
Ortiz,Uruguay,13/12/1999,Aston Villa,3,4.62,10
Miller,Denmark,30/04/1995,Leeds United,3,2.1,14
Spence,Belgium,26/05/2003,Tottenham Hotspur,3,2.83,9
Potts,Italy,29/03/1994,Leeds United,3,1.88,11
Ferguson,Argentina,14/04/2002,Chelsea,3,4.46,8
Morales,Italy,06/01/2001,Liverpool,3,3.22,15
Yoder,Denmark,09/07/1986,Arsenal,3,4.69,9
Coleman,Germany,10/11/2000,Newcastle United,3,2.72,0
Roy,Italy,18/06/1992,Leeds United,3,1.73,12
Anderson,Belgium,29/05/1998,Chelsea,3,3.59,13
Jones,Belgium,09/07/2005,Leeds United,3,3.85,4
Hernandez,Denmark,22/10/1994,Arsenal,3,1.13,10
Jones,Netherlands,14/10/1997,Manchester City,3,0.54,13
Crawford,Brazil,12/01/2000,Manchester United,3,3.49,2
Peters,Uruguay,10/12/1995,Tottenham Hotspur,3,4.45,13
Humphrey,Uruguay,28/07/1994,Manchester United,3,4.06,9
Price,Sweden,25/03/1988,Tottenham Hotspur,3,2.32,6
Wolf,Netherlands,15/05/2004,Manchester United,3,4.13,6
Page,Brazil,20/05/2006,Chelsea,3,1.88,4
Mendez,Sweden,20/03/1988,West Ham United,3,1.32,10
Wilkerson,Netherlands,11/07/2002,Liverpool,3,2.84,14
Smith,Denmark,12/09/1995,Tottenham Hotspur,3,1.79,3
Price,Brazil,28/01/1997,Newcastle United,3,1.08,14
Adams,France,23/09/1986,Manchester City,3,1.15,8
Clements,Spain,24/08/1997,Tottenham Hotspur,3,2.47,9
Adkins,Brazil,22/12/1998,Arsenal,3,2.41,3
Harris,Denmark,12/11/1996,Everton,3,2.95,9
Obrien,Denmark,30/12/1989,Manchester United,3,4.14,5
Griffin,Sweden,23/04/1996,Liverpool,3,4.01,14
Wright,Germany,01/01/2005,Aston Villa,3,4.97,9
Mckee,Denmark,21/07/2005,Chelsea,3,2.49,8
Jarvis,Brazil,06/04/2000,Leeds United,3,4.78,13
Chung,Argentina,02/06/2002,Chelsea,3,0.93,11
Newman,Argentina,07/08/1989,Newcastle United,3,1.06,4
Wilson,Uruguay,12/09/2000,Chelsea,3,3.73,2
Hopkins,Brazil,06/02/1996,Chelsea,3,1.49,13
Smith,Sweden,01/01/2002,Chelsea,3,1.45,12
Williams,Denmark,15/07/1999,Newcastle United,3,4.49,3
Miller,Denmark,13/09/2004,Newcastle United,3,1.01,4
Johnson,Denmark,18/02/1993,Everton,3,4.84,13
Hall,Scotland,05/08/1987,Leicester City,3,3.71,3
Wilson,Belgium,17/11/2000,Manchester United,3,4.12,2
Hill,Brazil,07/04/2005,Newcastle United,3,1.85,3
Smith,Germany,24/04/1999,Arsenal,3,4.68,0
Jackson,Denmark,18/04/2000,Manchester United,3,1.9,0
Garcia,Spain,20/04/1997,Chelsea,3,4.52,2
Foley,Netherlands,18/05/2005,Aston Villa,3,3.28,13
Lopez,Italy,21/05/1991,Leicester City,3,2.53,3
Martinez,Denmark,30/06/2004,Manchester United,3,1.6,13
George,Spain,31/12/2000,Everton,3,4.1,8
Hunt,Germany,02/10/2003,Everton,3,2.48,1
Stewart,Spain,15/11/1999,Newcastle United,3,0.78,7
Gray,France,28/09/2001,Newcastle United,3,4.38,7
Frey,Portugal,05/02/2001,Aston Villa,3,4.72,5
Morse,Belgium,17/07/1988,Manchester United,3,1.1,0
Boone,Netherlands,17/03/1997,Aston Villa,3,1.4,8
Brown,Denmark,14/05/2006,Arsenal,3,3.01,3
Schultz,Italy,21/06/1998,Liverpool,3,4.71,4
Rogers,Sweden,12/04/1986,Manchester City,3,3.14,2
Mccann,Scotland,27/11/1984,Newcastle United,3,4.68,2
Fisher,Germany,28/09/1988,Leicester City,3,4,8
Arnold,Sweden,08/06/1986,Manchester United,3,1.81,11
Roberts,Sweden,12/02/1998,Leeds United,3,0.65,9
Vega,France,13/05/1988,Liverpool,3,3.5,5
Hartman,Portugal,13/12/1994,Liverpool,3,4.29,7
Brown,Italy,19/03/1990,Manchester City,3,2.39,9
Sullivan,Brazil,14/09/2002,Newcastle United,3,1.53,13
Barnes,France,07/06/2005,Arsenal,3,4.48,2
Estrada,Argentina,06/09/1990,Aston Villa,3,2.66,10
Stevens,France,10/01/1991,Chelsea,3,2.58,1
Harrison,France,13/06/1986,Manchester City,3,0.62,7
Rosales,Spain,27/09/1984,Leicester City,3,3.49,4
Greene,Denmark,11/05/1994,Liverpool,3,2.64,9
Garcia,England,02/02/2006,Manchester City,3,2.68,15
Bryant,Scotland,05/03/1995,Arsenal,3,2.19,3
Johnson,Netherlands,03/11/1989,Tottenham Hotspur,3,1.59,0
Lamb,Germany,12/03/2005,Manchester City,3,4.13,7
Rogers,Belgium,25/07/1987,Tottenham Hotspur,3,1,14
Garcia,Belgium,13/08/1993,Everton,3,3.63,8
Turner,Belgium,07/01/2007,Manchester City,3,0.93,5
Mejia,Scotland,23/09/2000,Aston Villa,3,2.39,6
Burnett,Argentina,12/12/1995,Tottenham Hotspur,3,4.83,9
Calhoun,Netherlands,21/07/1996,Manchester United,3,3.36,14
Marsh,Italy,30/04/1985,Manchester United,3,3.89,8
Daniel,Scotland,11/04/2001,Manchester United,3,1.32,1
Sparks,Brazil,12/02/1992,Manchester United,3,0.91,2
Monroe,Uruguay,06/04/1997,Newcastle United,3,3.89,8
Peterson,Scotland,08/10/2001,Aston Villa,3,3.64,1
Snyder,Uruguay,17/03/1989,Chelsea,3,0.68,1
Gutierrez,Netherlands,04/05/1996,West Ham United,3,4.46,10
Moore,Netherlands,16/02/1995,Chelsea,3,2.42,8
Irwin,Brazil,17/01/2006,Manchester City,3,1.05,8
Snyder,Argentina,23/02/1995,Aston Villa,3,2.62,15
Jones,England,15/03/1989,Everton,3,3.69,8
Robinson,Denmark,25/05/1984,West Ham United,3,1.53,15
White,France,12/04/2004,Newcastle United,3,1.63,15
Lambert,Denmark,08/04/1987,Arsenal,3,1.54,15
Collins,Brazil,25/08/1984,West Ham United,3,1.41,2
Kelly,Italy,05/06/1986,Manchester City,3,0.89,2
Lewis,England,20/08/1997,Arsenal,3,2.77,15
Smith,Uruguay,03/06/2005,Leicester City,3,2.19,5
Harris,France,10/09/2000,Manchester City,3,1.22,8
Little,Brazil,21/10/1989,Manchester United,3,4.81,6
Francis,Netherlands,25/11/1995,Everton,3,2.69,14
Morales,Netherlands,08/09/2001,Chelsea,3,3.35,14
Scott,Sweden,18/12/1997,Chelsea,3,1.69,0
Gilbert,Italy,27/08/1984,Aston Villa,3,3.03,11
Sanders,Argentina,09/08/1989,Leeds United,3,1.3,4
Cain,Netherlands,17/08/1990,Newcastle United,3,1.93,6
Graves,Spain,07/08/2001,Tottenham Hotspur,3,3.74,9
